date,locator,latitude,longitude,healthy,sick_guess_no_corona,sick_guess_corona,sick_corona_confirmed,recovered_confirmed,recovered_not_confirmed
2020-03-26,1773,46.837,7.0219,2,0,0,0,0,0
2020-03-26,1028,46.5184,6.5269,14,1,1,0,0,2
2020-03-26,1426,46.8485,6.7138,1,0,0,0,0,0
2020-03-26,1296,46.3159,6.1931,3,0,1,0,0,0
2020-03-26,1625,46.6371,6.9822,5,0,0,0,0,0
2020-03-26,1315,46.6595,6.5145,5,0,0,0,0,0
2020-03-26,1134,46.5235,6.474,6,0,0,0,0,0
2020-03-26,1696,46.7078,7.0531,1,0,0,0,0,0
2020-03-26,1803,46.4768,6.827,10,0,0,0,0,0
2020-03-26,1637,46.6191,7.1628,13,0,0,0,0,0
2020-03-26,1921,46.0866,7.054,0,0,1,0,0,0
2020-03-26,1040,46.6442,6.6226,18,1,0,0,0,0
2020-03-26,1530,46.8207,6.9378,9,2,0,0,0,0
2020-03-26,1870,46.2299,6.8811,10,0,1,1,0,0
2020-03-26,1802,46.4723,6.8328,8,0,1,0,0,0
2020-03-26,1997,46.1682,7.3052,1,0,1,0,0,0
2020-03-26,1443,46.7877,6.581,1,0,1,0,0,0
2020-03-26,1253,46.2212,6.2026,2,0,0,0,0,0
2020-03-26,1804,46.4702,6.8417,1,0,0,0,0,0
2020-03-26,1113,46.5456,6.4876,1,0,0,0,0,0
2020-03-26,8134,47.3128,8.5223,1,0,0,0,0,0
2020-03-26,1098,46.4911,6.7482,2,0,0,0,0,0
2020-03-26,6982,45.9977,8.8977,1,0,0,0,0,0
2020-03-26,1815,46.442,6.8925,7,0,1,0,0,0
2020-03-26,1638,46.6279,7.0878,3,0,0,0,0,0
2020-03-26,1610,46.5701,6.8165,6,0,0,0,0,1
2020-03-26,1543,46.8719,6.9305,0,0,0,0,0,1
2020-03-26,1410,46.7111,6.7608,5,1,1,0,0,0
2020-03-26,1412,46.7408,6.6619,1,0,0,0,0,0
2020-03-26,2900,47.4159,7.0768,9,0,0,0,0,0
2020-03-26,1822,46.4426,6.9136,5,0,0,0,0,0
2020-03-26,1337,46.7129,6.38,3,0,0,0,0,0
2020-03-26,1180,46.4625,6.3256,2,0,1,0,0,0
2020-03-26,1670,46.6376,6.8446,3,0,0,0,0,0
2020-03-26,1938,46.0267,7.1191,1,0,0,0,0,0
2020-03-26,8037,47.3985,8.5243,1,0,0,0,0,0
2020-03-26,1257,46.1452,6.1364,1,0,0,0,0,0
2020-03-26,1633,46.6573,7.0674,3,0,0,0,0,0
2020-03-26,1880,46.2624,7.0506,6,0,0,0,0,0
2020-03-26,1971,46.2534,7.3798,1,0,0,0,0,1
2020-03-26,1070,46.4939,6.7661,1,0,1,0,0,3
2020-03-26,1955,46.2048,7.2211,2,0,0,0,0,1
2020-03-26,1423,46.8494,6.6394,0,0,0,0,0,1
2020-03-26,1115,46.5742,6.4812,1,0,0,0,0,0
2020-03-26,8005,47.3868,8.5207,6,0,0,0,0,0
2020-03-26,1222,46.2375,6.1997,13,0,0,0,0,1
2020-03-26,2603,47.1949,7.2495,1,0,0,0,0,0
2020-03-26,1669,46.5062,7.0515,2,1,0,0,0,0
2020-03-26,1845,46.3809,6.8986,2,0,0,0,0,0
2020-03-26,1354,46.7327,6.5106,1,0,0,0,0,0
2020-03-26,1303,46.6003,6.5388,9,0,0,0,0,0
2020-03-26,1627,46.6238,6.9932,1,0,0,0,0,0
2020-03-26,1890,46.2012,7.0013,3,0,0,0,0,0
2020-03-26,1082,46.6065,6.7415,3,0,1,0,0,0
2020-03-26,1083,46.5952,6.7712,3,0,0,0,0,0
2020-03-26,1035,46.6038,6.5638,1,0,0,0,0,0
2020-03-26,1896,46.3369,6.8748,4,0,0,0,0,0
2020-03-26,1278,46.3817,6.1503,2,0,0,0,0,0
2020-03-26,1754,46.7867,7.0581,3,0,0,0,0,0
2020-03-26,1297,46.3329,6.1927,7,0,0,0,0,0
2020-03-26,1628,46.6165,7.0191,5,0,0,0,0,0
2020-03-26,2350,47.2557,6.9957,1,0,0,0,0,0
2020-03-26,8003,47.3726,8.5161,8,0,0,0,0,0
2020-03-26,1317,46.6683,6.5256,1,0,0,0,0,0
2020-03-26,2074,47.0093,7.0012,3,0,0,0,0,0
2020-03-26,1228,46.1681,6.1159,9,0,0,0,0,0
2020-03-26,1607,46.5484,6.8227,2,0,1,0,0,0
2020-03-26,1872,46.2298,6.919,3,0,0,0,0,0
2020-03-26,1073,46.5472,6.7417,5,0,1,0,0,1
2020-03-26,1782,46.8284,7.1106,2,0,0,0,0,0
2020-03-26,1288,46.1908,6.0434,4,0,0,0,0,0
2020-03-26,1209,46.2219,6.125,7,0,0,0,0,0
2020-03-26,1011,46.5256,6.6429,0,0,1,0,0,0
2020-03-26,3012,46.9616,7.426,2,0,0,0,0,0
2020-03-26,1304,46.6127,6.5011,4,0,0,0,0,0
2020-03-26,1347,46.614,6.2332,1,0,1,1,0,0
2020-03-26,8006,47.3858,8.5432,7,0,0,0,0,0
2020-03-26,1920,46.1006,7.0738,15,1,4,0,0,0
2020-03-26,1926,46.1382,7.1137,2,0,1,0,0,0
2020-03-26,1941,46.0894,7.1729,2,0,0,0,0,0
2020-03-26,8050,47.4119,8.5508,3,1,1,0,0,1
2020-03-26,1965,46.2508,7.3498,6,0,1,0,0,0
2020-03-26,1757,46.8027,7.0277,1,0,0,0,0,2
2020-03-26,8048,47.3867,8.4839,4,0,0,0,0,1
2020-03-26,8032,47.3667,8.5644,3,0,0,0,0,0
2020-03-26,8049,47.4087,8.5005,2,0,0,0,0,0
2020-03-26,3976,46.2797,7.5024,2,0,0,0,0,0
2020-03-26,3963,46.3142,7.4991,1,0,1,0,0,0
2020-03-26,2072,47.0134,6.9869,2,0,1,0,0,0
2020-03-26,2855,47.3316,7.1998,1,0,0,0,0,0
2020-03-26,1616,46.5108,6.8492,3,0,1,0,0,0
2020-03-26,2802,47.3547,7.2913,1,0,0,0,0,0
2020-03-26,1967,46.2308,7.404,1,0,0,0,0,0
2020-03-26,1251,46.2525,6.2576,3,0,0,1,0,0
2020-03-26,1219,46.2054,6.1015,12,2,2,0,0,0
2020-03-26,7500,46.4984,9.84,1,0,0,0,0,0
2020-03-26,8055,47.3642,8.4903,6,0,0,0,0,0
2020-03-26,1405,46.7593,6.6695,3,0,0,0,0,0
2020-03-26,1285,46.1547,6.0073,6,0,0,0,0,0
2020-03-26,1904,46.1343,7.0387,2,0,0,0,0,0
2020-03-26,8122,47.3567,8.6271,1,0,0,0,0,0
2020-03-26,1032,46.5632,6.6061,2,0,0,0,0,0
2020-03-26,1242,46.2182,6.0314,2,1,0,0,0,0
2020-03-26,1372,46.6854,6.5656,0,0,1,0,0,0
2020-03-26,2932,47.4545,7.0962,2,0,0,0,0,0
2020-03-26,1510,46.6571,6.7889,1,0,0,0,0,0
2020-03-26,1617,46.5269,6.8739,6,0,0,0,0,0
2020-03-26,2800,47.3647,7.3436,14,1,0,0,0,0
2020-03-26,1731,46.7545,7.1463,1,0,0,0,0,0
2020-03-26,8803,47.3093,8.5549,1,0,0,0,0,0
2020-03-26,3008,46.9451,7.4139,1,0,0,0,0,0
2020-03-26,1772,46.8225,7.0564,1,0,0,0,0,0
2020-03-26,1725,46.7623,7.095,4,0,0,0,0,0
2020-03-26,8001,47.3728,8.5414,3,0,0,0,0,0
2020-03-26,1667,46.5663,7.0836,1,0,0,0,0,0
2020-03-26,1723,46.7741,7.1725,1,0,0,0,0,0
2020-03-26,1416,46.6993,6.6725,3,0,0,0,0,0
2020-03-26,1882,46.2735,7.0628,4,0,0,0,0,0
2020-03-26,8752,47.1011,9.0571,1,0,0,0,0,0
2020-03-26,1680,46.6943,6.9357,2,1,0,0,0,0
2020-03-26,1312,46.6525,6.5257,1,0,0,0,0,0
2020-03-26,1661,46.5944,7.0548,1,0,0,0,0,0
2020-03-26,1542,46.8596,6.9167,4,0,0,0,0,0
2020-03-26,1674,46.6475,6.8259,2,0,0,0,0,0
2020-03-26,2950,47.3994,7.1325,1,0,0,0,0,0
2020-03-26,1475,46.8648,6.8838,1,0,0,0,0,0
2020-03-26,1724,46.7396,7.1746,2,0,0,0,0,1
2020-03-26,2087,47.0379,7.021,1,0,0,0,0,0
2020-03-26,1614,46.5247,6.8312,2,0,0,0,0,0
2020-03-26,1306,46.6205,6.5488,1,0,0,0,0,0
2020-03-26,1862,46.3876,7.0896,1,0,0,0,0,0
2020-03-26,8413,47.5286,8.6678,1,0,0,0,0,0
2020-03-26,1483,46.8168,6.8683,3,0,0,0,0,0
2020-03-26,2854,47.3363,7.2445,2,0,0,0,0,0
2020-03-26,5304,47.5367,8.2899,1,0,0,0,0,0
2020-03-26,1823,46.4321,6.9256,1,0,0,0,0,0
2020-03-26,2036,46.9806,6.8697,1,0,0,0,0,0
2020-03-26,1172,46.4789,6.3541,1,0,1,0,0,0
2020-03-26,2517,47.1123,7.1174,1,0,0,0,0,0
2020-03-26,2207,47.0102,6.8626,1,0,0,0,0,0
2020-03-26,1807,46.4659,6.8944,9,0,0,0,0,0
2020-03-26,1805,46.4779,6.8421,3,0,0,0,0,0
2020-03-26,6216,47.1677,8.067,1,0,0,0,0,0
2020-03-26,1038,46.6922,6.7085,9,0,0,0,0,0
2020-03-26,1897,46.3736,6.8641,1,0,0,0,0,0
2020-03-26,1816,46.4544,6.892,1,0,0,0,0,0
2020-03-26,3966,46.2635,7.5009,1,0,0,0,0,0
2020-03-26,1643,46.677,7.0768,1,0,0,0,0,0
2020-03-26,6030,47.0818,8.3402,1,0,0,0,0,0
2020-03-26,4142,47.5137,7.6216,1,0,0,0,0,0
2020-03-26,5453,47.4083,8.3267,1,0,0,0,0,0
2020-03-26,8832,47.1964,8.7353,1,0,0,0,0,0
2020-03-26,5615,47.2948,8.2423,1,0,0,0,0,0
2020-03-26,4933,47.1732,7.7711,1,0,0,0,0,0
2020-03-26,8185,47.4925,8.5545,1,0,0,0,0,0
2020-03-26,8046,47.4222,8.5083,2,1,0,0,0,0
2020-03-26,1218,46.2324,6.124,7,0,0,0,0,0
2020-03-26,1860,46.3173,6.9676,6,0,0,0,0,0
2020-03-26,1588,46.9553,7.0196,0,0,2,0,0,0
2020-03-26,1131,46.5059,6.4739,6,0,0,0,0,1
2020-03-26,1291,46.3202,6.1804,2,0,0,0,0,0
2020-03-26,2525,47.0536,7.065,2,0,0,0,0,0
2020-03-26,1071,46.4773,6.784,3,1,0,0,0,0
2020-03-26,1635,46.6091,7.0662,1,0,0,0,0,1
2020-03-26,1968,46.1952,7.4365,1,0,0,0,0,0
2020-03-26,2822,47.3622,7.3751,1,0,0,0,0,0
